dataset,step,risk,effective_risk,action,cumulative_risk,workload,passive_recovery,risk_drain,mitigation_gain,workload_penalty,resilience
cyber,15,0.7709351811495959,0.7709351811495959,contain,10.048850493054273,0.855651292666483,0.016418341085005585,0.046256110868975756,0.00675,0.02429036114505861,0.13170481482069193
cyber,16,0.7556605286966497,0.7556605286966497,contain,10.402557002028752,0.8650861633998347,0.01736590370358616,0.04533963172179898,0.00675,0.024460412298938878,0.08602067450354024
cyber,17,0.7466571532941875,0.7466571532941875,contain,10.73311187524179,0.8735775470598512,0.018279586509929197,0.044799429197651244,0.00675,0.024611553175571795,0.041639278640246406
cyber,18,0.7460026288943854,0.7460026288943854,contain,11.049790029126504,0.8812197923538662,0.019167214427195073,0.044760157733663125,0.00675,0.024746045642180754,0.0
cyber,19,0.7453193022022002,0.7453193022022002,contain,11.353117730163643,0.8880978131184796,0.02,0.04471915813213201,0.00675,0.024865852679464395,0.0
cyber,20,0.7419575665058035,0.7419575665058035,contain,11.6409505874629,0.8942880318066316,0.02,0.044517453990348205,0.00675,0.024972682631276832,0.0
cyber,21,0.7394034242163406,0.7394034242163406,contain,11.914715988180724,0.8998592286259685,0.02,0.044364205452980435,0.00675,0.02506802617414295,0.0
cyber,22,0.7276615338669534,0.7276615338669534,contain,12.165788882520449,0.9048733057633715,0.02,0.0436596920320172,0.00675,0.02515318730321021,0.0
cyber,23,0.7276301493809016,0.7276301493809016,contain,12.406787476600533,0.9093859751870343,0.02,0.043657808962854094,0.00675,0.025229309389578312,0.0
cyber,24,0.7109034132814523,0.7109034132814523,investigate,12.621419390817962,0.873447377668331,0.02,0.04265420479688714,0.00375,0.02460924981652555,0.0
cyber,25,0.7106933491428333,0.7106933491428333,investigate,12.827255964328076,0.841102639901498,0.02,0.042641600948569995,0.00375,0.02402374280149221,0.0
cyber,26,0.7094936584911931,0.7094936584911931,investigate,13.023659384246145,0.8119923759113483,0.02,0.04256961950947158,0.00375,0.02347407600295299,0.0
cyber,27,0.7062884196779565,0.7062884196779565,investigate,13.209001428554256,0.7857931383202136,0.02,0.04237730518067739,0.00375,0.022960673888284926,0.0
cyber,28,0.6948452975207197,0.6948452975207197,investigate,13.375486668932805,0.7622138244881923,0.02,0.041690717851243175,0.00375,0.022483268452866082,0.0
cyber,29,0.6884941650567853,0.6884941650567853,investigate,13.528961367232277,0.7409924420393731,0.02,0.04130964990340712,0.00375,0.02204105389798052,0.0
cyber,30,0.6829615619543936,0.6829615619543936,investigate,13.670764474497378,0.7218931978354358,0.02,0.04097769371726361,0.00375,0.021632821825011066,0.0
cyber,31,0.679098621952728,0.679098621952728,investigate,13.80303251747021,0.7047038780518923,0.02,0.04074591731716368,0.00375,0.021257076009329284,0.0
cyber,32,0.6738278875118087,0.6738278875118087,investigate,13.92473910428321,0.6892334902467031,0.02,0.040429673250708516,0.00375,0.020912127442042756,0.0
cyber,33,0.6722550364913998,0.6722550364913998,investigate,14.040004576603282,0.6753101412220328,0.02,0.04033530218948399,0.00375,0.02059617128004232,0.0
cyber,34,0.6606933801449839,0.6606933801449839,investigate,14.139097773684135,0.6627791270998296,0.02,0.039641602808699036,0.00375,0.02030734781586155,0.0
cyber,35,0.6593099961024653,0.6593099961024653,investigate,14.232843858839233,0.6515012143898467,0.02,0.039558599766147916,0.00375,0.020043789726181448,0.0
cyber,36,0.6570441067289046,0.6570441067289046,investigate,14.320574211214568,0.641351092950862,0.02,0.039422646403734274,0.00375,0.019803657801855154,0.0
cyber,37,0.6552044904338628,0.6552044904338628,investigate,14.402955733199846,0.6322159836557759,0.02,0.03931226942603176,0.00375,0.019585167190055774,0.0
cyber,38,0.6531460170283409,0.6531460170283409,investigate,14.479983520900193,0.6239943852901984,0.02,0.03918876102170045,0.00375,0.019386605950154304,0.0
